,c0,c2,c4,c9,c10,c13,c14,c15,c16,c31,c89,c90,c91,c92,c93,c94,ymd,next_month_day1,next_month_day2,filename,dt_rank_neg
16283,5,180043370,施設基準不適合減算（運動器リハビリ料）（１００分の９０）,,6.0,,,,,,2,7,2,0,9,0,2014-03-19,2014-04-01,2014-04-02,s_20140319.csv,1.0
66071,9,180043430,脳血管疾患等リハビリテーション料（１）（要介護）基準不適合,単位,3.0,,,,,,2,7,1,0,9,0,2020-03-31,2020-04-01,2020-04-02,s_20200305.csv,1.0
27085,9,180043530,脳血管疾患等リハビリテーション料１（要介・廃用症）基準不適合,単位,3.0,,,,,,2,7,1,0,9,0,2016-03-31,2016-04-01,2016-04-02,s_20160304.csv,1.0
66072,9,180043630,脳血管疾患等リハビリテーション料（２）（要介護）基準不適合,単位,3.0,,,,,,2,7,1,0,10,0,2020-03-31,2020-04-01,2020-04-02,s_20200305.csv,1.0
27087,9,180043730,脳血管疾患等リハビリテーション料２（要介・廃用症）基準不適合,単位,3.0,,,,,,2,7,1,0,10,0,2016-03-31,2016-04-01,2016-04-02,s_20160304.csv,1.0
66073,9,180043830,脳血管疾患等リハビリテーション料（３）（要介護）基準不適合,単位,3.0,,,,,,2,7,1,0,11,0,2020-03-31,2020-04-01,2020-04-02,s_20200305.csv,1.0
27089,9,180043930,脳血管疾患等リハビリテーション料３（要介・廃用症）基準不適合,単位,3.0,,,,,,2,7,1,0,11,0,2016-03-31,2016-04-01,2016-04-02,s_20160304.csv,1.0
66074,9,180044030,運動器リハビリテーション料（１）（要介護）基準不適合,単位,3.0,,,,,,2,7,2,0,9,0,2020-03-31,2020-04-01,2020-04-02,s_20200305.csv,1.0
66075,9,180044130,運動器リハビリテーション料（２）（要介護）基準不適合,単位,3.0,,,,,,2,7,2,0,10,0,2020-03-31,2020-04-01,2020-04-02,s_20200305.csv,1.0
66076,9,180044230,運動器リハビリテーション料（３）（要介護）基準不適合,単位,3.0,,,,,,2,7,2,0,11,0,2020-03-31,2020-04-01,2020-04-02,s_20200305.csv,1.0
106984,9,180044310,脳血管疾患等リハビリテーション料（１）（要介護・入院）,単位,3.0,,,,,,2,7,1,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_20240306.csv,1.0
